City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.75,74,38,12.08,TF,1735511624
1,blackmans bay,-43.0167,147.3167,19.85,61,87,2.14,AU,1735511626
2,vilyuchinsk,52.9306,158.4028,-13.85,82,78,5.2,RU,1735511627
3,adamstown,-25.066,-130.1015,24.3,84,100,7.92,PN,1735511628
4,ushuaia,-54.8,-68.3,18.81,39,0,2.57,AR,1735511630
5,flying fish cove,-10.4217,105.6791,23.82,94,99,2.57,CX,1735511631
6,georgetown,5.4112,100.3354,26.96,68,20,3.09,MY,1735511632
7,kodiak,57.79,-152.4072,-2.27,100,100,0.0,US,1735511633
8,atafu village,-8.5421,-172.5159,28.36,72,11,2.8,TK,1735511635
9,amos,48.5669,-78.1162,0.72,100,100,1.83,CA,1735511636
10,i-n-salah,27.1935,2.4607,12.27,38,0,7.12,DZ,1735511637
11,edinburgh of the seven seas,-37.0676,-12.3116,14.52,68,100,5.1,SH,1735511639
12,papatowai,-46.5619,169.4708,15.29,70,100,4.72,NZ,1735511640
13,iskateley,67.6803,53.1512,-2.57,92,100,8.7,RU,1735511641
14,ginir,7.1333,40.7,13.05,43,18,2.55,ET,1735511643
15,talnakh,69.4865,88.3972,-16.22,96,99,3.27,RU,1735511644
16,egilsstadir,65.2653,-14.3948,-12.05,72,0,2.06,IS,1735511645
17,grytviken,-54.2811,-36.5092,2.79,70,13,2.47,GS,1735511647
18,chonchi,-42.6128,-73.8092,18.4,66,100,1.07,CL,1735511648
19,pangai,-19.8,-174.35,27.06,65,75,1.03,TO,1735511649
20,waitangi,-43.9535,-176.5597,14.9,98,100,2.68,NZ,1735511650
21,powdersville,34.7918,-82.4929,15.95,76,75,8.75,US,1735511652
22,coxim,-18.5067,-54.76,28.54,59,33,1.14,BR,1735511653
23,fauske,67.2588,15.3918,-0.03,75,100,11.01,NO,1735511654
24,port saint john's,-31.6229,29.5448,22.88,91,22,2.25,ZA,1735511656
25,lalibela,12.0333,39.0333,12.89,32,7,2.74,ET,1735511657
26,bredasdorp,-34.5322,20.0403,18.49,84,12,0.66,ZA,1735511658
27,thompson,55.7435,-97.8558,-2.91,93,100,1.03,CA,1735511659
28,la junta,37.985,-103.5438,17.16,29,0,5.14,US,1735511661
29,luderitz,-26.6481,15.1594,16.79,81,43,2.62,NA,1735511662
30,martapura,-3.4167,114.85,24.05,100,40,2.06,ID,1735511663
31,isangel,-19.55,169.2667,29.06,65,40,1.03,VU,1735511664
32,bilibino,68.0546,166.4372,-34.6,78,15,2.57,RU,1735511666
33,invercargill,-46.4,168.35,16.12,78,96,2.68,NZ,1735511667
34,tabas,33.5959,56.9244,9.98,42,0,2.04,IR,1735511668
35,klyuchi,52.2667,79.1667,-11.99,97,91,3.13,RU,1735511671
36,butembo,0.15,29.2833,14.42,60,30,1.61,CD,1735511672
37,ambon,-3.6954,128.1814,27.71,100,20,1.54,ID,1735511674
38,charters towers,-20.1,146.2667,29.16,58,17,4.03,AU,1735511675
39,kavieng,-2.5744,150.7967,28.85,72,99,3.53,PG,1735511676
40,alice springs,-23.7,133.8833,26.75,21,0,0.0,AU,1735511678
41,hakui,36.8833,136.7833,-0.42,74,74,4.42,JP,1735511679
42,akjoujt,19.6969,-14.4164,24.1,22,82,3.59,MR,1735511680
43,stanley,54.868,-1.6985,9.74,76,40,9.77,GB,1735511683
44,avarua,-21.2078,-159.775,27.03,89,75,3.6,CK,1735511684
45,siwa oasis,29.2041,25.5195,12.9,50,79,4.17,EG,1735511685
46,ilulissat,69.2167,-51.1,-14.99,56,0,0.51,GL,1735511687
47,constantia,44.1833,28.65,0.39,84,3,3.12,RO,1735511688
48,valdivia,-39.8142,-73.2459,24.05,57,89,3.13,CL,1735511689
49,maun,-19.9833,23.4167,24.98,78,75,2.06,BW,1735511690
50,smithers,54.7804,-127.1743,-3.82,86,75,1.03,CA,1735511540
51,labytnangi,66.6572,66.4183,-18.85,97,24,1.65,RU,1735511693
52,zhumysker,49.3333,49.4,-4.66,96,98,2.29,KZ,1735511694
53,san borja,-14.8167,-66.85,27.16,50,100,0.95,BO,1735511696
54,jamestown,42.097,-79.2353,16.12,79,100,7.72,US,1735511439
55,yellowknife,62.456,-114.3525,-7.55,99,100,3.6,CA,1735511698
56,el calafate,-50.3408,-72.2768,19.24,45,76,5.35,AR,1735511700
57,aswan,24.0934,32.907,12.5,47,66,4.62,EG,1735511701
58,nago,26.5881,127.9761,16.69,61,82,1.09,JP,1735511702
59,college,64.8569,-147.8028,-29.4,81,10,1.57,US,1735511674
60,punta arenas,-53.15,-70.9167,17.06,48,0,3.09,CL,1735511635
61,hawaiian paradise park,19.5933,-154.9731,26.05,74,20,3.6,US,1735511707
62,guerrero negro,27.9769,-114.0611,18.83,65,5,6.09,MX,1735511709
63,tete,-16.1564,33.5867,24.21,95,100,2.14,MZ,1735511710
64,monrovia,6.3005,-10.7969,27.17,79,58,3.69,LR,1735511711
65,west island,-12.1568,96.8225,26.99,83,20,6.69,CC,1735511713
66,puerto natales,-51.7236,-72.4875,21.25,43,75,5.66,CL,1735511714
67,coquimbo,-29.9533,-71.3436,18.85,72,75,4.12,CL,1735511715
68,albu kamal,34.45,40.9186,11.28,67,32,2.78,SY,1735511717
69,hamilton,39.1834,-84.5333,9.47,87,100,10.8,US,1735511718
70,dudinka,69.4058,86.1778,-13.65,95,100,5.32,RU,1735511698
71,greenville,35.6127,-77.3663,14.97,100,100,1.54,US,1735511443
72,sao felix do xingu,-6.6447,-51.995,22.95,96,83,0.43,BR,1735511722
73,pingzhuang,42.0372,119.2889,-6.69,49,0,2.09,CN,1735511723
74,iqaluit,63.7506,-68.5145,-21.15,59,20,0.0,CA,1735511724
75,cabo san lucas,22.8909,-109.9124,24.86,51,40,4.12,MX,1735511726
76,arraial do cabo,-22.9661,-42.0278,24.02,89,100,1.73,BR,1735511727
77,phek,25.6667,94.5,7.41,98,1,0.24,IN,1735511728
78,tralee,52.2704,-9.7026,9.72,86,100,4.11,IE,1735511729
79,utrik,11.2278,169.8474,27.02,75,42,8.98,MH,1735511731
80,margaret river,-33.95,115.0667,16.65,80,12,4.48,AU,1735511732
81,ribeira grande,38.5167,-28.7,18.21,87,78,7.6,PT,1735511733
82,mahibadhoo,3.7833,72.9667,27.41,74,96,3.99,MV,1735511735
83,buala,-8.145,159.5921,29.08,73,85,0.84,SB,1735511736
84,antalaha,-14.9003,50.2788,24.28,87,99,1.95,MG,1735511737
85,knyaze-volkonskoye,48.4642,135.4567,-25.81,100,89,1.11,RU,1735511739
86,isafjordur,66.0755,-23.124,-7.79,80,92,4.21,IS,1735511740
87,aasiaat,68.7098,-52.8699,-26.08,87,30,2.56,GL,1735511741
88,entre rios,-11.9419,-38.0844,24.36,78,78,3.49,BR,1735511742
89,pordic,48.5705,-2.8178,7.19,99,100,1.54,FR,1735511744
90,broken hill,-31.95,141.4333,26.25,22,2,3.98,AU,1735511745
91,puerto ayora,-0.7393,-90.3518,25.31,92,48,1.34,EC,1735511746
92,happy valley-goose bay,53.3168,-60.3315,-3.83,93,100,1.54,CA,1735511747
93,stewartville,43.8555,-92.4885,1.97,95,40,2.06,US,1735511749
94,kayangel,8.0823,134.7173,28.67,77,100,8.42,PW,1735511750
95,yurty,56.0498,97.6348,-6.62,86,100,3.93,RU,1735511751
96,port lincoln,-34.7333,135.8667,19.91,65,100,2.06,AU,1735511752
97,dongola,19.1667,30.4833,15.14,31,57,6.02,SD,1735511754
98,new plymouth,-39.0667,174.0833,18.9,77,46,5.96,NZ,1735511170
99,bethel,41.3712,-73.414,12.41,87,100,0.45,US,1735511756
100,sandnessjoen,66.0217,12.6316,1.06,86,75,2.57,NO,1735511758
101,carnarvon,-24.8667,113.6333,25.21,70,0,4.63,AU,1735511759
102,carboneras,37.0015,-1.9213,12.53,80,7,4.22,ES,1735511760
103,chernyshevsk,52.5243,117.0174,-27.17,100,90,0.97,RU,1735511762
104,praia,14.9215,-23.5087,24.3,69,0,5.66,CV,1735511764
105,morehead city,34.7229,-76.726,19.46,83,100,5.36,US,1735511766
106,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,72,0,1.0,RU,1735511767
107,port elizabeth,-33.918,25.5701,22.95,98,20,6.17,ZA,1735511768
108,paphos,34.7667,32.4167,9.57,100,40,3.09,CY,1735511770
109,anadyr,64.75,177.4833,-9.72,73,100,15.0,RU,1735511771
110,kone,-21.0595,164.8658,30.71,42,2,0.47,NC,1735511772
111,nova sintra,14.8667,-24.7167,25.39,77,1,6.12,CV,1735511773
112,susuman,62.7833,148.1667,-29.87,97,100,1.37,RU,1735511775
113,udachny,66.4167,112.4,-36.63,100,86,2.03,RU,1735511776
114,san antonio de pale,-1.4014,5.6325,27.09,76,97,1.62,GQ,1735511777
115,fale old settlement,-9.3852,-171.2468,28.65,66,24,3.05,TK,1735511779
116,muroto-misakicho,33.2833,134.15,8.75,58,97,3.8,JP,1735511780
117,saipan,15.1355,145.701,28.39,78,20,7.2,MP,1735511781
118,red chute,32.556,-93.6132,14.91,81,100,2.57,US,1735511782
119,laguna,38.421,-121.4238,17.81,74,75,8.23,US,1735511784
120,la'ie,21.6477,-157.9253,26.7,82,42,5.36,US,1735511785
121,yakeshi,49.2833,120.7333,-15.01,97,100,1.92,CN,1735511786
122,tiksi,71.6872,128.8694,-33.07,99,63,2.11,RU,1735511788
123,bagnan,22.9242,88.14,18.41,58,0,3.21,IN,1735511789
124,enewetak,11.3474,162.3373,27.2,78,32,9.38,MH,1735511790
125,aflou,34.1128,2.1023,1.67,72,10,3.46,DZ,1735511791
126,lycksele,64.5954,18.6735,-1.07,69,16,3.09,SE,1735511793
127,port mathurin,-19.6833,63.4167,25.4,74,89,7.52,MU,1735511795
128,faya-largeau,17.9257,19.1043,18.42,22,65,10.26,TD,1735511797
129,key west,24.5557,-81.7826,24.0,92,0,4.63,US,1735511798
130,pirallahi,40.4723,50.333,6.08,73,99,7.23,AZ,1735511799
131,tafuna,-14.3358,-170.72,29.97,70,75,0.51,AS,1735511800
132,port blair,11.6667,92.75,27.02,89,40,1.03,IN,1735511802
133,yelizovo,53.1873,158.3805,-13.92,72,0,1.0,RU,1735511803
134,huancavelica,-12.7667,-74.9833,6.27,76,97,2.11,PE,1735511804
135,colonia,50.9333,6.95,1.65,94,100,1.54,DE,1735511805
136,kolonia town,6.964,158.206,29.0,74,100,5.14,FM,1735511807
137,broome,42.2506,-75.833,14.65,85,100,6.17,US,1735511808
138,al majaridah,19.1236,41.9111,23.17,79,77,0.58,SA,1735511809
139,labrador city,52.9463,-66.9114,0.1,82,100,19.22,CA,1735511811
140,whitehorse,60.7161,-135.0538,-6.57,86,100,3.09,CA,1735511812
141,sao joao da barra,-21.6403,-41.0511,23.05,92,100,1.33,BR,1735511813
142,nabire,-3.3667,135.4833,26.12,82,100,0.77,ID,1735511815
143,khilok,51.3674,110.4676,-14.0,91,99,3.75,RU,1735511816
144,miyang,24.4042,103.4428,8.23,100,38,1.26,CN,1735511817
145,lucapa,-8.4192,20.7447,18.95,95,93,1.02,AO,1735511819
146,st. john's,47.5649,-52.7093,-0.02,92,100,0.89,CA,1735511820
147,salekhard,66.53,66.6019,-21.0,100,52,1.1,RU,1735511821
148,blankenberge,51.3131,3.1323,5.97,87,80,1.34,BE,1735511823
149,kirensk,57.7853,108.1119,-9.42,95,100,3.29,RU,1735511824
150,san luis,-33.295,-66.3356,25.43,49,38,6.3,AR,1735511825
151,olonkinbyen,70.9221,-8.7187,-10.34,62,100,11.9,SJ,1735511826
152,alotau,-10.3069,150.4462,29.22,71,100,1.35,PG,1735511828
153,longyearbyen,78.2186,15.6401,-14.09,56,20,6.17,SJ,1735511829
154,ormara,25.2088,64.6357,19.9,62,4,2.98,PK,1735511830
155,chibougamau,49.9168,-74.3659,0.79,100,100,2.06,CA,1735511832
156,kidal,18.4411,1.4078,21.16,14,89,4.02,ML,1735511833
157,uturoa,-16.7333,-151.4333,27.52,74,55,4.26,PF,1735511834
158,kansk,56.2017,95.7175,-9.32,94,100,2.37,RU,1735511836
159,parsabad,39.6482,47.9174,7.13,86,85,5.38,IR,1735511837
160,gamba,-2.65,10.0,25.43,89,100,2.47,GA,1735511838
161,keflavik,64.0049,-22.5624,-6.76,68,0,6.17,IS,1735511840
162,lihue,21.9789,-159.3672,25.77,67,100,7.72,US,1735511629
163,burutu,5.3509,5.5076,27.42,79,100,3.83,NG,1735511844
164,lompoc,34.6391,-120.4579,19.27,66,100,5.66,US,1735511775
165,albany,42.6001,-73.9662,10.23,97,100,2.7,US,1735511846
166,plakhtiyivka,46.1006,29.7217,0.13,88,10,1.14,UA,1735511850
167,inari,68.906,27.0288,-4.75,91,70,7.74,FI,1735511851
168,shalqar,47.8333,59.6,-2.76,92,100,3.49,KZ,1735511853
169,suva,-18.1416,178.4415,27.71,74,75,2.06,FJ,1735511854
170,chiaravalle,43.6027,13.3246,8.16,63,0,1.25,IT,1735511855
171,eyl,7.9803,49.8164,23.24,72,32,8.33,SO,1735511856
172,nishinoomote,30.7333,131.0,12.16,61,88,2.52,JP,1735511859
173,forster,-32.1667,152.5167,26.88,63,0,2.39,AU,1735511860
174,amga,60.8953,131.9608,-50.09,100,68,0.34,RU,1735511862
175,kavaratti,10.5669,72.642,27.23,78,15,3.84,IN,1735511863
176,kalmunai,7.4167,81.8167,24.12,92,94,3.51,LK,1735511864
177,mejit,10.2753,170.8646,27.28,72,100,9.02,MH,1735511866
178,katsuura,35.1333,140.3,7.19,50,51,4.01,JP,1735511867
179,sosua,19.7667,-70.5167,24.95,73,40,5.14,DO,1735511868
180,varadero,23.1536,-81.2514,25.42,80,100,2.21,CU,1735511870
181,aligudarz,33.4006,49.6949,-0.58,76,24,1.85,IR,1735511871
182,prince george,53.9166,-122.753,-0.31,93,100,1.03,CA,1735511872
183,ouadda,8.0777,22.4007,25.46,18,1,4.61,CF,1735511875
184,hermanus,-34.4187,19.2345,16.0,85,51,0.7,ZA,1735511876
